Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
MBC,1,8,20.0,45.856,12.0,0.09999999999999432,5.0,145000.0,35.0,0,2.55,860.0,335.0,0.0,0.0,863.75,336,246
Mezzafive,1,8,7.0,34.816,15.0,0.09999999999999432,25.0,166666.66666666666,30.0,0,2.78,885.0,326.0,0.0,0.0,870.1428571428571,285,238
Najda,1,8,14.0,91.13600000000001,25.0,0.09999999999999432,27.0,250000.0,25.0,10,2.79,810.0,333.0,0.0,0.0,837.875,378,293
Rosyjski1,1,8,20.0,158.49599999999998,20.0,0.09999999999999432,42.0,283333.3333333333,25.0,113,2.78,871.0,325.0,13.5,14.1,836.5424242424243,422,341
SGGW,1,8,10.0,34.455999999999996,14.0,0.09999999999999432,3.0,116666.66666666666,28.0,46,1.79,825.0,335.0,0.0,0.0,857.0,253,207
Wilki,1,8,10.0,26.656,12.0,0.4000000000000057,1.0,116666.66666666666,15.0,42,2.19,855.0,333.0,0.0,0.0,844.125,244,166
X03,1,8,17.0,91.656,25.0,0.09999999999999432,42.0,236666.66666666666,25.0,27,2.79,799.0,340.0,0.0,0.0,837.875,411,325
X04,1,8,17.0,91.656,25.0,0.09999999999999432,42.0,233333.3333333333,25.0,9,2.79,785.0,340.0,0.0,0.0,776.25,384,324
X05,1,8,15.0,91.656,25.0,0.09999999999999432,43.0,250000.0,25.0,27,2.76,820.0,305.0,0.0,0.0,811.2,360,300
Zwolińsk,1,8,5.0,23.055999999999997,11.0,0.20000000000000284,0.0,116666.66666666666,17.0,108,1.58,820.0,325.0,4.5,4.1,845.7303571428572,234,96
Banana,1,9,15.0,28.633599999999998,10.0,0.4000000000000057,9.0,133333.3333333333,12.0,0,3.48,915.0,375.0,0.0,0.0,871.75,261,229
Batmaja,1,9,30.0,135.0976,20.0,0.09999999999999432,37.0,333333.3333333333,16.0,0,3.73,871.0,325.0,13.3,14.0,846.2870879120877,414,399
EnactusUEP,1,9,20.0,54.8336,21.0,0.09999999999999432,33.0,175000.0,30.0,99,1.75,772.0,350.0,10.7,13.3,786.4632843791721,361,311
MBC,1,9,20.0,57.5136,12.0,0.20000000000000284,3.0,150000.0,35.0,0,3.22,890.0,360.0,0.0,12.6,865.625,324,336
Mezzafive,1,9,17.0,36.8896,20.0,0.09999999999999432,37.0,166666.66666666666,30.0,0,3.73,885.0,325.0,0.0,0.0,872.2857142857143,299,285
Rosyjski1,1,9,20.0,135.0976,20.0,0.0,30.0,283333.3333333333,25.0,0,3.73,922.0,325.0,14.1,12.9,843.7254623044096,398,422
SGGW,1,9,12.0,36.6736,15.0,0.09999999999999432,4.0,120000.0,25.0,46,2.49,910.0,335.0,0.0,0.0,871.0,212,207
Wilki,1,9,15.0,32.9936,13.0,1.4000000000000057,0.0,116666.66666666666,18.0,0,1.89,849.0,333.0,0.0,0.0,798.5,270,244
X03,1,9,17.0,99.9936,25.0,0.0,37.0,245000.0,25.0,46,3.42,799.0,320.0,0.0,0.0,817.75,414,365
X04,1,9,17.0,99.9936,25.0,0.0,37.0,233333.3333333333,25.0,24,3.74,810.0,335.0,0.0,0.0,786.625,381,360
X05,1,9,15.0,99.9936,25.0,0.0,37.0,250000.0,20.0,4,3.73,839.0,330.0,0.0,0.0,685.2,369,356
Historia,2,0,0.0,0.0,0.0,100.0,1.0,33333.33333333333,0.0,0,1.75,0.0,300.0,0.0,0.0,,0,0
Historia,2,1,0.0,0.0,0.0,100.0,3.0,90000.0,0.0,0,1.53,0.0,325.0,0.0,0.0,,0,0
Historia,2,2,0.0,0.0,0.0,100.0,1.0,106666.66666666666,0.0,0,1.58,0.0,325.0,0.0,0.0,,0,0
